item_id,question,answer,label
Y9,那有没有可能影响到你的行为呢，比如进一步的攻击性动作？,几乎没有，只是想想而已。,0
Y9,这种情绪波动是很正常的。在压抑情绪的时候，是否表现出任何攻击性或破坏性行为呢？,不，我更多的是选择回避，不会有攻击性的反应。,0
Y9,感觉这是一种好的状态，这段时间，他有没有表现出一些让你担忧的攻击性或者破坏性行为？,没有，他其实挺和平的，只是一会表现得特别绝望。,0
Y9,饮食缺乏可能影响孩子其他方面的表现，是否可能观察到孩子在行为上有任何攻击性或破坏性？,没有特别的攻击性，但情绪很容易波动。,0
Y9,这样的感受说明你对这段关系是有责任感的。那么，当她拒绝你的好友请求并且骂你时，你是否表现出一些攻击性或破坏性的行为或想法呢？,我没有攻击或破坏性的行为，但心里确实很生气。,0
Y9,听到你有这样的冲动，你是不是也对这种情绪感到后悔和自责呢？,是的，每次吵完架我就非常后悔，觉得自己太自私。,0
Y9,这种情况发生得频繁吗？他是否表现出有攻击性的行为？,他不会攻击我，但是经常不说话，把自己封闭起来。,0
Y9,他在非常生气的时候，会表现出攻击性或者破坏性行为吗？,并没有，他只是情绪上比较激烈。,0
Y9,强烈的情绪波动是否影响了其他方面，比如对他人反应敏感？,没有意识到，但可能是这样。,0
Y9,我们可以一起找到解决方案，这样就不会感到那么孤立无援。关于对母亲的冲动和对自己的极端方法，您是否有其他施加极端行为的冲动想法？,有时候感到无能为力时，会有冲动的想法出现，但我还控制住了自己。,0
Y9,这种恐惧是可以理解的，在那一刻你感到被威胁了吗？,是的，那一刻我确实有点害怕。,0
Y9,那么，在此过程中，伴随着这些疑虑，您是否感受到任何形式的攻击性或愤怒？,没有，我更多的是感到无助。,0
Y9,面对这样的挑战，找到适合你的应对策略很重要。你提到过想通过身体攻击解决矛盾，有过这样的冲动吗？,想过，但我理智上不允许自己这么做。我还是希望和平解决。,0
Y9,那会是一个多么美好的世界！不过，现实中你对人性的观察是否让你对社会的某些方面感到敌意或距离感？,是的，偶尔会对人性的阴暗面感到无奈。,0
Y9,当家庭矛盾加剧时，你是否倾向于用安静的方式逃避？,是的，我更想自己静静待会儿，而不是去争吵。,0
Y9,在与男友发生关系后或因其关心减少，你有没有对他或自己产生敌对或毁灭性的行为倾向？,我没有想过要做什么激烈的事情。,0
Y9,很可能如此。他有没有表现出特别的攻击性或自我破坏的行为呢？,这倒没有，他只是对我发脾气而已。,0
Y9,您说过医生给你开了丙戊酸钠缓来控制情绪激动，最近有激动吗？,最近情绪还算平稳，没有特别激动的情绪。,0
Y9,是这样，视频电话确实是一个不错的保持联系的方式！对于新工作的压力，您有过这样的考虑吗？是否会让您变得更加烦躁？,新的挑战让我有点不安，可能会影响情绪吧。,0
Y9,她有渠道表达出来也是一种进步。可能和她分享你的感受，也许能提供支持。你有注意到她有没有表现出攻击性或破坏性行为？,并没有，她更多表现为自我隔离。,0
Y9,这可能与你在工作中的表现有关系。那么遇到挫折时，情绪会变得不稳定吗，比如爆发或攻击性行为？,是的，小事有时就会打乱我的情绪平衡。,0
Y9,难怪这种状态让你如此疲惫。有没有长期伤害过自己的想法呢？,有时候确有伤害自己的念头，但我知道那不解决问题。,0
Y9,听起来你感到非常无奈和愤怒。我很好奇，当你情绪爆发时，是否会伴随着一些过激的行为呢？,不会有过激行为。,0
